NCES LEA ID,State ID,District Name,Mailing Address,City,State,Zip Code,Zip +4,Telephone,Locale codes of schools in the LEA,Each school has a locale code of 7 or 8?,Is the LEA defined as rural by the State?,Average Daily Attendance,Is county population density less than 10 persons/sq. mile?,Percentage of children from families below poverty line,Does LEA meet low-income poverty requirement?,Alternate Poverty Data Provided by State,"According to alternate data, does LEA meet low-income poverty requirement?","Does each school in LEA have locale code of 6,7, or 8?","FY 2015 Title II, Part A allocation amount","FY 2015 Title II, Part D formula allocation amount - PLEASE LEAVE BLANK","FY 2015 Title IV, Part A allocation amount - PLEASE LEAVE BLANK",FY 2015 Title V allocation amount - PLEASE LEAVE BLANK,SRSA rural eligible,SRSA Small Eligible,SRSA Rural Eligible2,SRSA Small Check,SRSA eligible,RLIS rural eligible,RLIS pov. Eligible,Initial RLIS eligible,RLIS eligible,"SRSA, Not RLIS eligible",LEA Operational Status,LEA Agency type,
1700105,01-009-2620-26,A-C Central CUSD 262,PO Box 260,Ashland,IL,62612,0260,2174768112,7,YES,YES,421.83,,0011,NO,,,YES,"$22,634",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1700105,
1703210,21-028-0910-04,Akin CCSD 91,21962 Akin Blacktop,Akin,IL,62890,1304,6186272180,7,YES,YES,70.85,,0016,NO,,,YES,"$7,616",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1703210,
1703270,13-014-0630-02,Albers SD 63,206 N Broadway,Albers,IL,62215,1017,6182485146,8,YES,YES,177.09,,0004,NO,,,YES,"$2,260",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1703270,
1703300,44-063-0190-24,Alden Hebron SD 19,9604 Illinois St,Hebron,IL,60034,9618,8156482886,8,YES,YES,398.84,,0012,NO,,,YES,"$12,104",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1703300,
1703450,20-093-0170-24,Allendale CCSD 17,101 N 3rd St,Allendale,IL,62410,9569,6182993161,7,YES,YES,105.84,,0024,YES,,,YES,"$9,939",,,,1,1,0,0,SRSA,1,1,Initial,-,SRSA,Open,LEA,1703450,
1703420,35-050-0650-04,Allen-Otter Creek CCSD 65,400 S Lane St,Ransom,IL,60470,8087,8155864611,7,YES,YES,1.08,,0010,NO,,,YES,"$8,052",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1703420,
1703660,28-037-2250-26,AlWood CUSD 225,301 E 5th Ave,Woodhull,IL,61490,9684,3093342719,8,YES,YES,339.82,,0013,NO,,,YES,"$11,566",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1703660,
1703810,28-037-2260-26,Annawan CUSD 226,501 W South St,Annawan,IL,61234,9715,3099356781,8,YES,YES,367.88,,0010,NO,,,YES,"$13,996",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1703810,
1704230,54-092-2250-17,Armstrong Twp HSD 225,30474 Smith,Armstrong,IL,61812,6910,2175692122,8,YES,YES,106.87,,0032,YES,,,YES,"$4,243",,,,1,1,0,0,SRSA,1,1,Initial,-,SRSA,Open,LEA,1704230,
1704200,54-092-0610-03,Armstrong-Ellis Cons SD 61,3571 Gifford Ave,Armstrong,IL,61812,6919,2175692115,8,YES,YES,71.53,,0021,YES,,,YES,"$6,802",,,,1,1,0,0,SRSA,1,1,Initial,-,SRSA,Open,LEA,1704200,
1704340,13-095-0150-04,Ashley CCSD 15,450 N Third St,Ashley,IL,62808,1259,6184856611,7,YES,YES,133.57,,0020,NO,,,YES,"$14,664",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1704340,
1704380,47-052-2750-26,Ashton-Franklin Center CUSD 275,611 Western Ave,Ashton,IL,61006,9445,8154537461,7,YES,YES,489.50,,0008,NO,,,YES,"$26,079",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1704380,
1704440,26-029-0010-26,Astoria CUSD 1,402 N Jefferson St,Astoria,IL,61501,8670,3093292156,7,YES,YES,292.80,,0018,NO,,,YES,"$20,959",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1704440,
1704740,13-014-0210-02,Aviston SD 21,350 S Hull St,Aviston,IL,62216,3407,6182287245,8,YES,YES,371.04,,0004,NO,,,YES,"$5,925",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1704740,
1705160,13-014-0570-02,Bartelso SD 57,306 S Washington,Bartelso,IL,62218,0267,6187652164,8,YES,YES,149.36,,0011,NO,,,YES,"$9,718",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1705160,
1705460,03-025-0200-26,Beecher City CUSD 20,438 E State Highway 33,Beecher City,IL,62414,2219,6184875100,7,YES,YES,297.30,,0016,NO,,,YES,"$14,365",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1705460,
1705820,39-074-0050-26,Bement CUSD 5,201 S Champaign St,Bement,IL,61813,1512,2176784200,8,YES,YES,314.72,,0014,NO,,,YES,"$23,924",,,,1,1,0,0,SRSA,1,0,0,-,0,Open,LEA,1705820,
